ROWID,State,City,Year,Population,ViolentCrime,MurderAndNonEgligentManslaughter,ForcibleRape,Robbery,AggravatedAssault,PropertyCrime,Burglary,LarcenyTheft,MotorVehicleTheft,Arson,Year_id,City_id,State_id
115856,Alaska,Anchorage,2007,284142,2405,22,257,453,1673,11107,1454,8397,1256,145,2,1,1
115857,Alaska,Bethel,2007,6488,61,2,15,0,44,107,25,63,19,2,2,2,1
115858,Alaska,Bristol Bay Borough,2007,1028,8,0,0,0,8,49,11,24,14,1,2,3,1
115859,Alaska,Cordova,2007,2322,9,0,0,0,9,14,1,10,3,0,2,4,1
115860,Alaska,Craig,2007,1186,41,0,0,0,41,18,5,10,3,2,2,5,1
115861,Alaska,Dillingham,2007,2494,76,1,24,3,48,78,18,40,20,0,2,6,1
115862,Alaska,Fairbanks,2007,31287,258,5,43,42,168,1358,236,957,165,6,2,7,1
115863,Alaska,Haines,2007,2260,16,0,1,0,15,74,24,46,4,0,2,8,1
115864,Alaska,Homer,2007,5629,52,0,2,1,49,220,32,165,23,1,2,9,1
115865,Alaska,Houston,2007,1992,3,0,0,0,3,40,8,24,8,0,2,10,1
115866,Alaska,Juneau,2007,30746,126,1,22,17,86,1364,174,1137,53,10,2,11,1
115867,Alaska,Kenai,2007,7620,30,1,2,3,24,318,32,265,21,0,2,12,1
115868,Alaska,Ketchikan,2007,7384,21,0,9,1,11,476,41,407,28,4,2,13,1
115869,Alaska,Kodiak,2007,6242,33,0,5,1,27,209,13,175,21,6,2,14,1
115870,Alaska,North Pole,2007,1869,9,0,1,1,7,116,24,85,7,0,2,15,1
115871,Alaska,North Slope Borough,2007,6569,70,0,15,7,48,149,52,70,27,8,2,16,1
115872,Alaska,Palmer,2007,7931,65,0,4,1,60,282,23,242,17,2,2,17,1
115873,Alaska,Petersburg,2007,2890,1,0,0,0,1,117,6,103,8,0,2,18,1
115874,Alaska,Seward,2007,3054,3,0,1,0,2,146,21,118,7,2,2,19,1
115875,Alaska,Sitka,2007,8932,31,0,9,0,22,290,21,250,19,2,2,20,1
115876,Alaska,Skagway,2007,827,1,0,0,0,1,14,1,11,2,0,2,21,1
115877,Alaska,Soldotna,2007,4198,21,0,2,1,18,218,14,189,15,0,2,22,1
115878,Alaska,St. Paul,2007,431,6,0,2,0,4,7,6,1,0,0,2,23,1
115879,Alaska,Unalaska,2007,4155,15,0,4,1,10,74,7,59,8,0,2,24,1
115880,Alaska,Wasilla,2007,9931,47,0,2,2,43,553,58,442,53,0,2,25,1
115881,Alaska,Wrangell,2007,2028,1,0,0,0,1,77,5,67,5,0,2,26,1
115882,Alabama,Abbeville,2007,2955,8,0,1,1,6,105,16,83,6,0,2,27,2
115883,Alabama,Adamsville,2007,4771,53,0,1,20,32,416,45,351,20,0,2,28,2
115884,Alabama,Addison,2007,720,4,0,0,0,4,23,1,21,1,0,2,29,2
115885,Alabama,Alabaster,2007,28904,33,1,0,18,14,659,68,545,46,0,2,30,2
115886,Alabama,Alexander City,2007,15053,131,2,14,24,91,1016,182,784,50,0,2,31,2
115887,Alabama,Aliceville,2007,2457,3,0,1,1,1,43,11,25,7,0,2,32,2
115888,Alabama,Andalusia,2007,8727,40,0,3,7,30,381,63,300,18,0,2,33,2
115889,Alabama,Anniston,2007,23736,541,9,20,188,324,2912,942,1723,247,0,2,34,2
115890,Alabama,Arab,2007,7694,34,0,1,1,32,579,105,445,29,0,2,35,2
115891,Alabama,Ardmore,2007,1145,0,0,0,0,0,41,9,27,5,0,2,36,2
115892,Alabama,Ariton,2007,747,0,0,0,0,0,1,0,1,0,0,2,37,2
115893,Alabama,Ashford,2007,1967,2,0,0,0,2,34,10,21,3,0,2,38,2
115894,Alabama,Ashland,2007,1856,3,0,0,0,3,26,2,21,3,0,2,39,2
115895,Alabama,Ashville,2007,2503,4,0,0,2,2,54,9,40,5,0,2,40,2
115896,Alabama,Atmore,2007,7452,83,0,5,19,59,568,131,420,17,0,2,41,2
115897,Alabama,Auburn,2007,53160,176,2,25,44,105,2559,630,1838,91,0,2,42,2
115898,Alabama,Autaugaville,2007,885,2,0,0,0,2,27,12,13,2,0,2,43,2
115899,Alabama,Bay Minette,2007,7674,54,1,3,9,41,376,73,281,22,0,2,44,2
115900,Alabama,Bayou La Batre,2007,2761,25,0,1,4,20,325,70,229,26,0,2,45,2
115901,Alabama,Bear Creek,2007,1016,6,0,0,0,6,24,2,19,3,0,2,46,2
115902,Alabama,Berry,2007,1212,0,0,0,0,0,4,0,3,1,0,2,47,2
115903,Alabama,Bessemer,2007,28217,502,10,34,195,263,3534,903,2373,258,0,2,48,2
